"Restaurant.Name","BBL","Building.Number","Street","Borough","Postcode","Latitude","Longitude","Business.Address","Approved.for.Sidewalk.Seating","Approved.for.Roadway.Seating","Qualify.Alcohol","Time.of.Submission","GRADE","GRADE.DATE","CUISINE.DESCRIPTION","Time"
"Warique",4014780001,"90-04","37 ave","Queens",11372,40.750539,-73.87671,"90-04  37 ave , Queens, NY","yes","yes","no","08/20/2020 05:32:00 PM","A",2020-01-08,"Spanish","08/20/2020"
"Prince Laban&Chinese restaurent",4012840065,"3756","74 street","Queens",11372,40.74763,-73.891596,"3756 74 street, Queens, NY","yes","yes","no","08/15/2020 04:55:00 PM","Z",2020-02-13,"Indian","08/15/2020"
"Philly Pretzel Factory",3009440004,"131","5th Ave","Brooklyn",11217,40.678651,-73.978934,"131 5th Ave, Brooklyn, NY","yes","no","no","08/15/2020 09:58:00 AM","A",2019-11-18,"Hotdogs/Pretzels","08/15/2020"
"About Coffee",1004890008,"71","SULLIVAN STREET","Manhattan",10012,40.724625,-74.003889,"71 SULLIVAN STREET, Manhattan, NY","no","yes","no","08/14/2020 05:08:00 PM","A",2019-08-20,"Mediterranean","08/14/2020"
"NEW CHOI FOOK RESTAURANT",3063760045,"2050","86th Street","Brooklyn",11214,40.603896,-73.99709,"2050  86th Street, Brooklyn, NY","yes","yes","no","08/20/2020 03:09:00 PM","Z",2020-03-12,"Seafood","08/20/2020"
"Seasoned Vegan",1018220052,"55","St. Nicholas Avenue","Manhattan",10026,40.8005,-73.952507,"55 St. Nicholas Avenue, Manhattan, NY","yes","no","yes","06/26/2020 08:38:00 PM","A",2019-11-07,"Vegetarian","06/26/2020"
"Le Pain Quotidien GCW",1012780014,"16","East 44th St.","Manhattan",10017,40.754434,-73.979138,"16 East 44th St., Manhattan, NY","yes","yes","no","08/17/2020 09:46:00 AM","N",2020-08-17,"American","08/17/2020"
"35-09 Ditmars Bagel Corp",4008240004,"35-09","Ditmars Blvd","Queens",11105,40.774763,-73.908748,"35-09 Ditmars Blvd, Queens, NY","yes","yes","no","08/16/2020 05:22:00 PM","A",2020-01-08,"Bagels/Pretzels","08/16/2020"
"LOS CAFETALES RESTAURANT CORP",4012890039,"78-17","ROOSEVELT AVE","Queens",11372,40.747278,-73.887402,"78-17 ROOSEVELT AVE, Queens, NY","yes","no","no","08/21/2020 08:45:00 AM","A",2019-12-20,"Spanish","08/21/2020"
"Il Bel Paese Pizzeria & Trattoria",3032200003,"305","Knickerbocker Avenue","Brooklyn",11237,40.701684,-73.923383,"305 Knickerbocker Avenue , Brooklyn, NY","yes","yes","no","08/15/2020 04:04:00 PM","A",2020-02-27,"Pizza/Italian","08/15/2020"
"Desi Galli",1004040029,"172","Avenue B","Manhattan",10009,40.72733,-73.979583,"172 Avenue B, Manhattan, NY","yes","no","no","08/20/2020 07:52:00 PM","B",2020-01-15,"Indian","08/20/2020"
"PICASSO PIZZERIA",1000160001,"303","SOUTH END AVENUE","Manhattan",10280,40.710255,-74.016325,"303 SOUTH END AVENUE, Manhattan, NY","yes","yes","no","08/20/2020 09:55:00 PM","A",2020-03-09,"Mexican","08/20/2020"
"LA PULPERIA 44",1010540029,"623","9TH AVE","Manhattan",10036,40.759829,-73.991626,"623 9TH AVE, Manhattan, NY","yes","yes","no","08/17/2020 12:16:00 PM","C",2019-08-15,"Italian","08/17/2020"
"LOS CAFETALES RESTAURANT CORP",4012890039,"78-17","ROOSEVELT AVE","Queens",11372,40.747278,-73.887402,"78-17 ROOSEVELT AVE, Queens, NY","yes","no","no","08/21/2020 08:54:00 AM","A",2019-12-20,"Spanish","08/21/2020"
"ICE CREAM HOUSE",3067370050,"1725","AVENUE M","Brooklyn",11230,40.61826,-73.957842,"1725 AVENUE M, Brooklyn, NY","yes","no","no","08/20/2020 02:43:00 PM","A",2019-11-04,"Ice Cream, Gelato, Yogurt, Ices","08/20/2020"
"Starbucks Coffee",1009200012,"605","Third Ave","Manhattan",10158,40.749076,-73.975682,"605 Third Ave, Manhattan, NY","yes","no","no","08/20/2020 05:27:00 PM","A",2019-06-10,"Asian","08/20/2020"
"FRIENDSHIP FOODS ONE INC",1003040005,"103","BOWERY","Manhattan",10002,40.717659,-73.995217,"103 BOWERY, Manhattan, NY","no","yes","no","08/15/2020 04:17:00 PM","B",2020-02-18,"Asian","08/15/2020"
"Le Pain Quotidien Soho",1004740022,"100","Grand Street","Manhattan",10013,40.721389,-74.00171,"100 Grand Street , Manhattan, NY","yes","yes","no","08/17/2020 09:24:00 AM","A",2019-12-02,"Sandwiches","08/17/2020"
"Atlas Cafe",1004600040,"73","2nd ave","Manhattan",10003,40.726384,-73.989295,"73 2nd ave, Manhattan, NY","yes","yes","no","08/21/2020 10:59:00 AM","A",2019-04-22,"American","08/21/2020"
"El Nuevo Carribeno",1016330019,"1675","Lexington Avenue","Manhattan",10029,40.79167,-73.946688,"1675 Lexington Avenue , Manhattan, NY","yes","no","yes","06/24/2020 04:02:00 PM","B",2019-10-16,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/24/2020"
"Le Pain Quotidien Lincoln Sq",1011170001,"60","W 65th St","Manhattan",10023,40.772468,-73.980851,"60 W 65th St, Manhattan, NY","yes","no","no","08/17/2020 09:57:00 AM","A",2020-03-11,"American","08/17/2020"
"GYRO KING",2031840039,"50","EAST FORDHAM RD.","Bronx",10468,40.862447,-73.90024,"50 EAST FORDHAM RD., Bronx, NY","yes","no","no","08/16/2020 01:50:00 PM","A",2020-03-11,"Greek","08/16/2020"
"The Tasty Waffle Company",3016570004,"227","Malcolm X Boulevard","Brooklyn",11221,40.685181,-73.929491,"227 Malcolm X Boulevard, Brooklyn, NY","yes","no","no","08/20/2020 09:08:00 PM","A",2019-09-19,"American","08/20/2020"
"LA PULPERIA 44",1010540029,"623","9TH AVE","Manhattan",10036,40.759829,-73.991626,"623  9TH AVE, Manhattan, NY","yes","no","no","08/17/2020 12:27:00 PM","C",2019-08-15,"Italian","08/17/2020"
"Blendzville Cafe Inc",3035080001,"5","Sutter ave","Brooklyn",11212,40.665274,-73.922905,"5 Sutter ave, Brooklyn, NY","yes","yes","no","08/16/2020 07:39:00 PM","A",2020-02-03,"Juice, Smoothies, Fruit Salads","08/16/2020"
