,ean_hotel_id,name,address,city,state_province,postal_code,latitude,longitude,rating,highest_room_rate,lowest_room_rate
1,252608,Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,45-20 Astoria Blvd.,Astoria,NY,11103,40.76791,-73.90563,2.5,169.35,159.35
2,224415,"Super 8 Long Island City, LGA Hotel",31-62 14th Street,Astoria,NY,11106,40.76679,-73.93348,2,211.0229,102.0041
3,220355,Adria Hotel And Conference Center,221-17 Northern Blvd,Bayside,NY,11361,40.76179,-73.75974,3,180.15,160
4,130161,Anchor Inn,215-34 Northern Blvd,Bayside,NY,11361,40.76076,-73.76612,2,185.53,159.03
5,115172,Best Western Queens Gold Coast,220-33 Northern Blvd,Bayside,NY,11361,40.76166,-73.76059,2.5,165.4,155.4
6,350825,Bellerose Inn,249-05 Jericho Turnpike,Bellerose,NY,11426,40.72656,-73.71558,2,100,99
7,448735,Playland Motel,97-20 Rockaway Beach Blvd,Broad Channel,NY,11693,40.5874,-73.81247,3,249.46,129.46
8,438964,Opera House Hotel,436 East 149th Street,Bronx,NY,10455,40.81531,-73.91589,3,209.47,169.47
9,428137,Rodeway Inn Bronx Zoo,3070-72 Webster Ave,Bronx,NY,10467,40.87052,-73.87789,2,171.34,170.34
10,169333,Ramada Bronx,1000 Baychester Ave,Bronx,NY,10475,40.87979,-73.83187,3,241.1339,140.2387
11,269318,Days Inn Bronx Near Stadium,997 Brook Ave,Bronx,NY,10451,40.82687,-73.91176,2,184.0327,126.6667
12,217343,Howard Johnson Express Inn Bronx,1922 Boston Rd,Bronx,NY,10460,40.83957,-73.88151,2,145.45,123.45
13,245493,Bronx Guesthouse,East 233 Street,Bronx,NY,10466,40.89192,-73.85267,2,202.3,151.725
14,393691,Sheridan Hotel,1440 Sheridan Expy,Bronx,NY,10459,40.83114,-73.88481,2,198.39,169.39
15,466093,Super 8 Bronx,1145 Southern Blvd,Bronx,NY,10459,40.8277,-73.8919,2,94.09,93.09
16,487266,Residence Inn New York The Bronx At Metro Center Atrium,1776 Eastchester Rd,Bronx,NY,10461,40.84958,-73.84363,3,250.12,249.12
17,567182,"Umbrella Hotel, An Ascend Hotel Collection Member",681 Elton Ave,Bronx,NY,10455,40.81885,-73.91467,2.5,249.38,199.38
18,339951,Sheraton Brooklyn New York Hotel,228 Duffield Street,Brooklyn,NY,11201,40.6916,-73.98436,4,409.1485,259.0916
19,348082,Best Western Plus Arena Hotel,1324 Atlantic Ave,Brooklyn,NY,11216,40.67829,-73.94857,2.5,150.24,114.25
20,370872,Aloft New York Brooklyn,216 Duffield St,Brooklyn,NY,11201,40.69172,-73.98435,3,509.46,249.46
21,272697,NU Hotel Brooklyn,85 Smith St,Brooklyn,NY,11201,40.68891,-73.98897,3.5,299.34,273.34
22,400022,Hotel BPM - Brooklyn New York,139 33rd street,Brooklyn,NY,11232,40.6565,-74.0035,3.5,170.19,169.19
23,385544,"Union Hotel, an Ascend Hotel Collection Member",611 DeGraw St,Brooklyn,NY,11217,40.67907,-73.98322,2.5,144.36,114.36
24,262957,Holiday Inn Express Brooklyn,625 Union St,Brooklyn,NY,11215,40.678,-73.98453,3,139.24,99.2
25,253355,Hotel Le Bleu,370 Fourth Ave,Brooklyn,NY,11215,40.67304,-73.98658,3,145.4,144.99
26,370130,Condor Hotel,56 Franklin Ave,Brooklyn,NY,11205,40.6975,-73.95864,3.5,439.36,279.31
27,417594,Hotel Indigo BROOKLYN,229 Duffield St,Brooklyn,NY,11201,40.69124,-73.9844,3.5,334.05,143.6691
28,350857,Sleep Inn Brooklyn Downtown,134 22nd St,Brooklyn,NY,11232,40.66306,-73.99778,2,149.2,129.2
29,339969,La Quinta Inn & Suites Brooklyn Downtown,533 3rd Ave,Brooklyn,NY,11215,40.66882,-73.99322,2.5,189.44,169.44
30,403899,The Box House Hotel,77 Box Street,Brooklyn,NY,11222,40.73749,-73.95329,4,379.42,249.42
31,263437,Hotel Le Jolie,235 Meeker Ave,Brooklyn,NY,11211,40.71635,-73.95075,2.5,189.44,159.44
32,333610,Super 8 Brooklyn / Park Slope Hotel,267 3rd Ave,Brooklyn,NY,11215,40.67784,-73.98577,2,561.07,271
33,256012,Red Lion Inn and Suites Brooklyn,279 Butler St,Brooklyn,NY,11217,40.68133,-73.98485,3.5,329,309
34,123678,Best Western Gregory Hotel,8315 4th Ave,Brooklyn,NY,11209,40.62447,-74.02767,2.5,205.35,125.35
35,438068,International Students Residence,341 Broadway,Brooklyn,NY,11211,40.70784,-73.95615,1.5,69.99,40.29
36,388700,Comfort Inn Red Hook,17 Seabring Street,Brooklyn,NY,11231,40.68016,-74.0058,2.5,124.0796,114.095
37,362397,"Brooklyn Way Hotel, BW Premier Collection",764 4th Ave,Brooklyn,NY,11232,40.65996,-73.99867,2.5,180.36,162.36
38,360006,Fairfield Inn & Suites by Marriott New York Brooklyn,181 3rd Ave,Brooklyn,NY,11217,40.68055,-73.98393,2.5,309.2,209.01
39,417441,Galaxy Motel,860 Pennsylvania Avenue,Brooklyn,NY,11207,40.65677,-73.88937,2,130.0206,110.0134
40,218905,Days Inn Brooklyn,437 39th Street,Brooklyn,NY,11232,40.65204,-74.00517,2,229,134.1
41,136344,New York Marriott at the Brooklyn Bridge,333 Adams St,Brooklyn,NY,11201,40.69365,-73.9887,4,489.07,212.04
42,252992,Red Carpet Inn New York City,980 Wyckoff Ave,Brooklyn,NY,11237,40.69594,-73.9047,2,201.34,200.34
43,364363,Oasis Motel in Brooklyn,12091 Flatlands Ave,Brooklyn,NY,11207,40.65227,-73.88741,1.5,329.95,328.95
44,257831,Lexington Inn - Brooklyn NY,2473 Atlantic Ave,Brooklyn,NY,11207,40.67599,-73.90319,2.5,199.99,179.99
45,351559,Sankofa Aban Bed and Breakfast,107 Macon Street,Brooklyn,NY,11216,40.68136,-73.947,2.5,250.18,135.17
46,420944,Lefferts Gardens Residence Bed and Breakfast,44 Rutland Road,Brooklyn,NY,11225,40.65887,-73.95907,2.5,158.934,129.9519
47,404600,The Missing Lantern,1156 Dean St,Brooklyn,NY,11216,40.67694,-73.95133,2,190.44,160.44
48,364362,Riviera Motor Inn Brooklyn,2969 Atlantic Ave,Brooklyn,NY,11208,40.67815,-73.8842,1.5,272.5125,271.5125
49,276847,Brooklyn Motor Inn,140 Hamilton Ave,Brooklyn,NY,11231,40.68183,-74.00614,2,140.22,130.21
50,464762,Henry Norman Hotel,251 North Henry Street,Brooklyn,NY,11222,40.72795,-73.94398,3.5,300.04,299.04
51,448368,Hotel Lynx,1420 Atlantic Avenue,Brooklyn,NY,11216,40.67811,-73.94504,2,159.3,139.3
52,459006,Hampton Inn Brooklyn Downtown NY,125 Flatbush Avenue Extension,Brooklyn,NY,11201,40.69537,-73.98408,3,358.6905,298.7424
53,464655,Green Point YMCA,99 Meserole Avenue,Brooklyn,NY,11222,40.72695,-73.95318,2,99.9647,98.9647
54,242563,Comfort Inn Brooklyn City Center,599 Utica Ave,Brooklyn,NY,11203,40.65888,-73.93111,2.5,180.23,179.23
55,486518,Bklyn House,9 Beaver Street,Brooklyn,NY,11206,40.70083,-73.93949,2.5,200.48,199.48
56,548227,La Quinta Inn & Suites Brooklyn East,1412 Pitkin Ave,Brooklyn,NY,11233,40.66856,-73.92196,2.5,150.15,149.15
57,476903,Oyo Bed & Breakfast,1390 Bedford Avenue,Brooklyn,NY,11216,40.67571,-73.95325,2.5,175.0289,90.0167
58,491941,Sumner Hotel,22 Sumner Place,Brooklyn,NY,11206,40.70091,-73.94058,2,189.36,119.36
59,448516,Habitat 101,101 Sutton Street,Brooklyn,NY,11222,40.72651,-73.94084,3,216.02,130.02
60,528548,Cesar Suites at New York South,381 S 3rd St,Brooklyn,NY,11211,40.70878,-73.95231,3,1199,359.1
61,471886,Sleep Inn Prospect Park South,1118 36th St,Brooklyn,NY,11218,40.64419,-73.98774,3,159.898,149.9044
62,496013,Quality Inn,95 Chester Street,Brooklyn,NY,11212,40.6693,-73.9116,2.5,150.0172,140.0083
63,358519,Americas Best Value Inn,1705 Linden Boulevard,Brooklyn,NY,11212,40.65743,-73.89933,2,118.95,92.81
64,539305,The Brooklyn,1199 Atlantic Avenue,Brooklyn,NY,11216,40.67866,-73.95122,3.5,199.44,189.44
65,507616,Best Western Plus Brooklyn Bay Hotel,3003 Emmons Avenue,Brooklyn,NY,11235,40.58399,-73.9382,2.5,190.21,171.22
66,508516,Vacation Rental in New York,416 Van Siclen Avenue,Brooklyn,NY,11207,40.66931,-73.88946,3,230.09,190.08
67,532228,Holiday Inn Brooklyn Downtown,300 Schermerhorn Road,Brooklyn,NY,11217,40.68762,-73.98254,3.5,314.0428,144.0182
68,529152,New York City Summer Dorms,"Conolly Hall, Long Island University",Brooklyn,NY,11201,40.69192,-73.98041,2,34.92,33.92
69,512373,Dazzler Brooklyn,85 Flatbush Ave Extension,Brooklyn,NY,11201,40.69631,-73.98455,3.5,542.5052,230.4843
70,486970,Midwood Suites Brooklyn,1078 East 15 Street,Brooklyn,NY,11230,40.62329,-73.96105,3,199,109
